Line,x,y,z,lotzeit
_minhyp_112_112_1__,421842.717001,211960.82297,2658.4684643,236.7
_minhyp_112_112_1__,421843.632711,211959.634915,2658.25271403,242.15
_minhyp_112_112_1__,421844.548421,211958.44686,2658.1073777,247.6
_minhyp_112_112_1__,421845.464131,211957.258805,2658.02900965,253
_minhyp_112_112_1__,421846.379842,211956.07075,2657.92774474,258.45
_minhyp_112_112_1__,421847.295552,211954.882695,2657.77737052,263.9
_minhyp_112_112_1__,421848.211262,211953.69464,2657.66866109,269.35
_minhyp_112_112_1__,421849.126972,211952.506585,2657.61305121,274.75
_minhyp_112_112_1__,421850.042682,211951.31853,2657.60808111,280.2
_minhyp_112_112_1__,421850.958393,211950.130475,2657.55033445,285.65
_minhyp_112_112_1__,421851.874103,211948.94242,2657.36068701,291.05
_minhyp_112_112_1__,421852.789813,211947.754364,2657.20856419,296.5
_minhyp_112_112_1__,421853.705523,211946.566309,2657.10951975,301.95
_minhyp_112_112_1__,421854.621234,211945.378254,2657.06355359,307.4
_minhyp_112_112_1__,421855.536944,211944.190199,2656.98587924,312.8
_minhyp_112_112_1__,421856.452654,211943.002144,2656.90084401,318.25
_minhyp_112_112_1__,421857.368364,211941.814089,2656.85932533,323.7
_minhyp_112_112_1__,421858.284074,211940.626034,2656.86132321,329.1
_minhyp_112_112_1__,421859.199785,211939.437979,2656.83080838,334.55
_minhyp_112_112_1__,421860.115495,211938.249924,2656.69014962,340
_minhyp_112_112_1__,421861.031205,211937.061869,2656.53024312,345.45
_minhyp_112_112_1__,421861.946915,211935.873814,2656.41557428,350.85
_minhyp_112_112_1__,421862.862625,211934.685759,2656.36707181,356.3
_minhyp_112_112_1__,421863.778336,211933.497704,2656.36754119,361.75
_minhyp_112_112_1__,421864.694046,211932.309649,2656.32710757,367.15
_minhyp_112_112_1__,421865.609756,211931.121594,2656.27955538,372.6
_minhyp_112_112_1__,421866.525466,211929.933539,2656.26855917,378.05
_minhyp_112_112_1__,421867.500497,211928.793932,2656.22657949,383.5
_minhyp_112_112_1__,421868.481725,211927.659388,2656.15263363,388.9
_minhyp_112_112_1__,421869.462953,211926.524843,2656.04661663,394.35
_minhyp_112_112_1__,421870.444181,211925.390298,2655.93552478,399.8
_minhyp_112_112_1__,421871.425409,211924.255753,2655.95844035,405.2
_minhyp_112_112_1__,421872.406636,211923.121209,2656.01324438,410.65
_minhyp_112_112_1__,421873.387864,211921.986664,2656.04489205,416.1
_minhyp_112_112_1__,421874.369092,211920.852119,2656.0533833,421.55
_minhyp_112_112_1__,421875.35032,211919.717574,2656.049415,426.95
_minhyp_112_112_1__,421876.331548,211918.58303,2656.03796175,432.4
_minhyp_112_112_1__,421877.312776,211917.448485,2656.01224502,437.85
_minhyp_112_112_1__,421878.294004,211916.31394,2655.9722648,443.25
_minhyp_112_112_1__,421879.275232,211915.179395,2655.91802111,448.7
_minhyp_112_112_1__,421880.25646,211914.044851,2655.9939899,454.15
_minhyp_112_112_1__,421881.237688,211912.910306,2656.10944892,459.6
_minhyp_112_112_1__,421882.218915,211911.775761,2656.21601503,465
_minhyp_112_112_1__,421883.200143,211910.641216,2656.31368819,470
_minhyp_112_112_1__,421884.181371,211909.506672,2656.35482344,474.6
