x1,y1,G_dgm
421980.038829,212198.450253,2993.03720129
421979.722601,212197.50157,2993.44037335
421979.406373,212196.552886,2993.86314847
421979.090145,212195.604203,2994.30552664
421978.773918,212194.65552,2994.76750788
421978.45769,212193.706836,2995.29158865
421978.141462,212192.758153,2995.85901602
421977.825234,212191.80947,2996.49162279
421976.943527,212191.679357,2997.15115704
421975.944326,212191.719325,2997.8376188
421974.945125,212191.759293,2998.55100804
421973.945924,212191.799261,2999.28357988
421972.946723,212191.839229,2999.84823429
421971.947522,212191.879197,3000.36456103
421970.948322,212191.919165,3000.66848621
421969.949121,212191.959133,3000.95485935
421968.94992,212191.999101,3001.24698324
421967.950719,212192.039069,3001.54485788
421966.951518,212192.079037,3001.8845361
421965.952317,212192.119005,3002.29757875
421964.953116,212192.158974,3002.69904219
421963.953915,212192.198942,3003.09458732
421962.954714,212192.23891,3003.49335566
421961.955513,212192.278878,3003.89058917
421960.956312,212192.318846,3004.28628786
421959.957111,212192.358814,3004.77109828
421958.95791,212192.398782,3005.30774967
421957.958709,212192.43875,3005.82709053
421956.959508,212192.478718,3006.32912085
421955.960307,212192.518686,3006.84911504
421954.961106,212192.558654,3007.35060276
421953.961905,212192.598622,3007.83210858
421952.962704,212192.63859,3008.33411099
421951.963503,212192.678558,3008.82894949
421950.964302,212192.718526,3009.30966369
421949.965101,212192.758494,3009.77625359
421948.9659,212192.798462,3010.2079793
421947.966699,212192.83843,3010.59494259
421946.967498,212192.878398,3010.97923829
421945.968298,212192.918366,3011.53763141
421944.969097,212192.958334,3012.08054025
421943.969896,212192.998302,3012.6079648
421942.970695,212193.03827,3013.11990508
421941.971494,212193.078238,3013.62393076
421941.192065,212192.764762,3014.3231713
421940.785927,212191.85095,3014.96922436
421940.379789,212190.937139,3015.56539113
421939.97365,212190.023327,3016.13473726
421939.567512,212189.109516,3016.67726275
421939.161373,212188.195704,3017.19296761
421938.755235,212187.281893,3017.68185182
421938.349096,212186.368081,3018.14488765
421937.942958,212185.454269,3018.65468415
421937.536819,212184.540458,3019.17866181
421937.130681,212183.626646,3019.67291431
421936.724542,212182.712835,3020.13744165
421936.318404,212181.799023,3020.57224384
421935.912265,212180.885212,3020.97732087
421935.506127,212179.9714,3021.36745875
421935.099988,212179.057589,3021.87871744
421934.69385,212178.143777,3022.37037105
421934.287712,212177.229966,3022.8404982
421933.881573,212176.316154,3023.28909891
421933.475435,212175.402342,3023.71617315
421933.069296,212174.488531,3024.12172095
421932.663158,212173.574719,3024.51392783
421932.257019,212172.660908,3024.95292093
421931.850881,212171.747096,3025.38162583
421931.444742,212170.833285,3025.78621062
421931.038604,212169.919473,3026.1666753
421930.632465,212169.005662,3026.52301985
421930.226327,212168.09185,3026.85524429
421929.820188,212167.178038,3027.19949467
421929.41405,212166.264227,3027.58755973
421929.007911,212165.350415,3027.99405011
421928.601773,212164.436604,3028.411022
421928.195635,212163.522792,3028.83847542
421927.789496,212162.608981,3029.27641035
421927.383358,212161.695169,3029.7248268
421926.977219,212160.781358,3030.19080341
421926.571081,212159.867546,3030.65823181
421926.164942,212158.953735,3031.1330634
421925.758804,212158.039923,3031.59797472
421925.352665,212157.126111,3032.04669264
421924.946527,212156.2123,3032.47921714
421924.540388,212155.298488,3032.89554823
421924.13425,212154.384677,3033.38912075
421923.632597,212153.985277,3033.89895718
421922.92549,212154.692384,3034.44785883
421922.218383,212155.399491,3035.1067868
421921.511276,212156.106598,3035.81125448
421920.804169,212156.813704,3036.56126188
421920.097063,212157.520811,3037.27326599
421919.389956,212158.227918,3037.71763627
421918.682849,212158.935025,3038.07968787
421917.975742,212159.642131,3038.28377604
421917.268636,212160.349238,3038.47990698
421916.561529,212161.056345,3038.69622986
421915.854422,212161.763452,3038.90641059
421915.147315,212162.470559,3039.25571233
421914.440208,212163.177665,3039.5870788
421913.733102,212163.884772,3039.90050998
421913.025995,212164.591879,3040.19600588
421912.318888,212165.298986,3040.4735665
421911.492701,212164.980089,3040.7581124
421910.642436,212164.453735,3041.03405085
421909.792171,212163.92738,3041.27253645
421908.941906,212163.401025,3041.48972673
421908.09164,212162.874671,3041.72199043
421907.241375,212162.348316,3041.97020121
421906.39111,212161.821961,3042.3996146
421905.540845,212161.295607,3042.86710765
421904.69058,212160.769252,3043.32660646
421903.840315,212160.242898,3043.77811103
421902.99005,212159.716543,3044.22162134
421902.139784,212159.190188,3044.64630946
421901.289519,212158.663834,3044.92317654
421900.439254,212158.137479,3045.23161422
421899.588989,212157.611125,3045.5227054
421898.738724,212157.08477,3045.75517761
421897.888459,212156.558415,3045.92903087
421897.038194,212156.032061,3046.08243656
421896.187928,212155.505706,3046.27646616
421895.337663,212154.979351,3046.45652033
421894.487398,212154.452997,3046.62259907
421893.637133,212153.926642,3046.77470237
421892.786868,212153.400288,3046.91283023
421891.936603,212152.873933,3047.11713511
421891.086338,212152.347578,3047.40839357
421890.236072,212151.821224,3047.68182444
421889.385807,212151.294869,3047.93742772
421888.535542,212150.768515,3048.17520341
421887.685277,212150.24216,3048.39515152
421886.835012,212149.715805,3048.61928099
421885.984747,212149.189451,3048.8316111
421885.134481,212148.663096,3049.03042968
421884.284216,212148.136741,3049.21573675
421883.433951,212147.610387,3049.38753229
421882.583686,212147.084032,3049.56740757
421881.733421,212146.557678,3049.79396191
421882.021653,212145.74473,3049.99948269
