x_450000,y_5000000,G_DGM10m
425147.776888,210809.933227,2615.85020158
425145.782779,210809.779834,2615.42001119
425143.78867,210809.626441,2614.99144131
425141.794561,210809.473048,2614.56449196
425139.800452,210809.319655,2614.13675726
425137.810616,210809.491079,2613.61783061
425135.821232,210809.696877,2613.08971791
425133.831849,210809.902675,2612.55978404
425131.842465,210810.108474,2612.05004062
425129.853082,210810.314272,2611.55805618
425127.863698,210810.52007,2611.04605421
425125.874314,210810.725869,2610.53384233
425123.884931,210810.931667,2610.02142055
425121.895547,210811.137465,2609.50878887
425119.906164,210811.343264,2608.99614902
425117.91678,210811.549062,2608.48729704
425115.927396,210811.75486,2607.97808723
425113.948384,210811.781399,2607.4778301
425111.99601,210811.347538,2607.00183065
425110.043636,210810.913677,2606.52657155
425108.091262,210810.479816,2606.00411717
425106.138888,210810.045955,2605.47318082
425104.186514,210809.612094,2605.0300508
425102.23414,210809.178233,2604.59700618
425100.281766,210808.744372,2604.16310953
425098.32679,210808.322837,2603.74796128
425096.365628,210807.930605,2603.32264556
425094.404467,210807.538373,2602.89205264
425092.443306,210807.14614,2602.45618253
425090.482144,210806.753908,2602.01503523
425088.494023,210806.547565,2601.53887789
425086.502237,210806.366493,2601.05753342
425084.51045,210806.185422,2600.57158566
425082.518664,210806.00435,2600.0810346
425080.526878,210805.823279,2599.58588026
425078.535091,210805.642207,2599.06044598
425076.543305,210805.461136,2598.51740053
425074.551518,210805.280064,2597.96540384
425072.559732,210805.098993,2597.40445591
425070.638572,210804.68019,2596.86532864
425068.870996,210803.744415,2596.38592627
425067.10342,210802.808639,2595.88807929
425065.335844,210801.872864,2595.36098753
425063.568268,210800.937088,2594.804651
425061.800692,210800.001313,2594.2190697
425060.033117,210799.065537,2593.78616442
425058.265541,210798.129762,2593.39422355
425056.497965,210797.193987,2592.97196681
425054.868543,210796.034674,2592.58186674
425053.241076,210794.872197,2592.15644396
425051.613609,210793.709721,2591.69476299
425049.894078,210792.777027,2591.15635438
425047.914179,210792.494184,2590.50913029
425045.93428,210792.211341,2589.8487019
425043.954381,210791.928498,2589.17506921
425041.974482,210791.645656,2588.48823223
425039.994583,210791.362813,2587.78874744
425038.092555,210790.924229,2587.29063975
425036.678341,210789.510016,2586.90624805
425035.264127,210788.095802,2586.62617864
425033.849914,210786.681589,2586.28463461
425032.576986,210785.151549,2585.92878116
425031.467586,210783.487448,2585.56950357
425030.358185,210781.823347,2585.15348018
425029.173973,210780.216988,2584.74473801
425027.845245,210778.72217,2584.6841002
425026.516518,210777.227351,2584.63720624
425025.18779,210775.732532,2584.53845559
425023.859062,210774.237714,2584.38784826
425022.463215,210772.838454,2584.1418266
425020.606262,210772.095672,2583.55363971
425018.749308,210771.352891,2582.94292534
425016.892355,210770.610109,2582.30541817
425015.035402,210769.867328,2581.65012212
425013.159717,210769.175682,2581.02952672
425011.26235,210768.543227,2580.38372773
425009.364984,210767.910771,2579.72513481
425007.467617,210767.278316,2579.05332822
425005.570251,210766.64586,2578.3898478
425003.672884,210766.013405,2577.73469355
425001.714806,210765.606985,2577.0108887
424999.755892,210765.203679,2576.31094329
424997.796978,210764.800373,2575.74720638
424995.838064,210764.397067,2575.17883646
424993.87915,210763.993761,2574.60583353
424991.920236,210763.590455,2574.02819759
424989.961322,210763.18715,2573.44605582
424988.002408,210762.783844,2572.86546085
424986.043494,210762.380538,2572.27997055
424984.08458,210761.977232,2571.68958492
424982.125665,210761.573926,2571.09430397
424980.166751,210761.17062,2570.4941277
424978.207837,210760.767314,2569.82460981
424976.248923,210760.364009,2569.13379949
424974.290009,210759.960703,2568.43263194
424972.467738,210759.141903,2567.94595577
424970.651819,210758.303786,2567.49087374
424968.8359,210757.46567,2567.08164762
424967.019981,210756.627554,2566.69383103
424965.204063,210755.789437,2566.31203387
424963.388144,210754.951321,2565.93625615
424961.471789,210754.406808,2565.44212878
424959.523007,210753.957089,2564.91503377
424957.574224,210753.50737,2564.39927343
424955.625442,210753.057651,2563.88272143
424953.676659,210752.607932,2563.36537774
424951.727877,210752.158213,2562.84724239
424949.766976,210752.532741,2562.08236449
424947.805815,210752.924973,2561.3844657
424945.977517,210753.704442,2560.62437471
424944.188663,210754.598869,2559.85968967
424942.399808,210755.493296,2559.11238744
424940.610954,210756.387724,2558.38246803
424938.8221,210757.282151,2557.66381516
424937.534938,210758.797165,2556.93157267
424936.285548,210760.358903,2556.27422623
424935.188311,210761.986467,2555.90049293
424934.905468,210763.966366,2555.73437961
424934.622625,210765.946265,2555.56793817
424934.186705,210767.801147,2555.364402
424932.303221,210768.47382,2554.81263163
424930.419737,210769.146493,2554.2601189
424928.536253,210769.819166,2553.66369627
424926.65277,210770.491838,2553.0901014
424924.769286,210771.164511,2552.53520881
424922.885802,210771.837184,2551.98585302
424921.091341,210771.427141,2551.4253471
424919.343026,210770.455855,2550.86228393
424917.594712,210769.484569,2550.36439399
424915.846397,210768.513283,2549.89317017
424914.144176,210767.475747,2549.41740392
424912.625663,210766.174164,2548.98275935
424911.107149,210764.872582,2548.52423886
424909.588636,210763.570999,2548.03995558
424908.013757,210762.354308,2547.51524755
424906.224903,210761.459881,2546.90816464
424904.436048,210760.565454,2546.29113641
424902.647194,210759.671026,2545.72764052
424900.984075,210758.602151,2545.33395339
424899.569861,210757.187937,2545.08927649
424898.155648,210755.773724,2544.88784628
424896.225046,210755.711083,2544.30627678
424894.228125,210755.822023,2543.67503408
424892.231204,210755.932963,2543.04325484
424890.234284,210756.043903,2542.41093906
424888.237363,210756.154843,2541.84190666
424886.240442,210756.265783,2541.28124405
424884.243522,210756.376723,2540.7204949
424882.246536,210756.471149,2540.16257064
424880.248799,210756.376019,2539.63806467
424878.251063,210756.280888,2539.18792397
424876.253327,210756.185758,2538.7490551
424874.25559,210756.090628,2538.31093137
424872.257854,210755.995498,2537.8735528
424870.260118,210755.900367,2537.43691937
424868.262382,210755.805237,2536.99055988
424866.264645,210755.710107,2536.54204028
424864.266909,210755.614976,2536.09283491
424862.342128,210756.149465,2535.5444279
424860.419081,210756.698908,2534.99744162
424858.496033,210757.24835,2534.41201505
424856.558773,210757.744718,2533.81640145
424854.618488,210758.229789,2533.21693431
424852.678203,210758.714861,2532.6123247
424850.737918,210759.199932,2532.00257263
424848.797633,210759.685003,2531.43097124
424846.850169,210760.139143,2530.90805554
424844.894565,210760.558201,2530.42166316
424842.93896,210760.977259,2529.92824011
424840.983355,210761.396317,2529.42778637
424839.02775,210761.815376,2528.93359872
424837.072145,210762.234434,2528.44972612
424835.12066,210762.671245,2527.96294998
424833.180375,210763.156316,2527.47124441
424831.24009,210763.641387,2526.97744325
424829.299805,210764.126458,2526.49667158
424827.376721,210764.674115,2526.03379427
424825.461069,210765.24881,2525.56255076
424823.545416,210765.823506,2525.08468454
424821.629764,210766.398202,2524.60019562
424819.765302,210767.077307,2524.11551963
424818.137835,210768.239784,2523.67613009
424816.510368,210769.40226,2523.24355802
424814.882901,210770.564736,2522.86237229
424813.277515,210771.756829,2522.51523006
424811.69881,210772.98471,2522.14742065
424810.120106,210774.212591,2521.75673399
424808.541402,210775.440472,2521.46787464
424806.962697,210776.668354,2521.19160955
424805.736966,210778.185604,2520.93107619
424804.842539,210779.974458,2520.68507309
424803.948112,210781.763313,2520.53274945
424803.053684,210783.552167,2520.36652065
424802.159257,210785.341021,2520.1849403
424801.26483,210787.129876,2519.98800839
424800.370403,210788.91873,2519.77572491
424799.475976,210790.707584,2519.63773363
424798.581548,210792.496439,2519.58472371
424797.687121,210794.285293,2519.51472942
424797.399851,210796.244404,2519.48934598
424797.23376,210798.237496,2519.47162137
424797.067669,210800.230587,2519.45684089
424796.901578,210802.223679,2519.48916459
424796.735487,210804.21677,2519.52022429
424796.243913,210806.137738,2519.50458947
424795.552502,210808.014424,2519.45680928
424794.861091,210809.891111,2519.40407453
424794.169681,210811.767797,2519.42584669
424793.47827,210813.644483,2519.44323399
424792.786859,210815.521169,2519.45121271
424792.095448,210817.397855,2519.44978285
424791.404038,210819.274542,2519.4389444
424790.712627,210821.151228,2519.43062378
424790.109173,210823.057624,2519.4420894
424789.521002,210824.969182,2519.49849497
424788.93283,210826.88074,2519.55683831
424788.344658,210828.792298,2519.60617827
424787.756487,210830.703856,2519.63459343
424787.168315,210832.615414,2519.6373207
424786.679379,210834.554622,2519.64921349
424786.194308,210836.494907,2519.65866572
424785.709237,210838.435192,2519.66519516
424785.224165,210840.375477,2519.67739358
424784.739094,210842.315762,2519.71492008
424784.254023,210844.256047,2519.73686294
424783.768952,210846.196332,2519.74322217
424783.072231,210848.06818,2519.69042297
424782.329449,210849.925133,2519.60595101
424781.586668,210851.782086,2519.51254488
424780.843887,210853.63904,2519.40684289
424780.101105,210855.495993,2519.28846578
424779.358324,210857.352947,2519.2443235
424778.615543,210859.2099,2519.20495338
424777.872761,210861.066853,2519.2142742
424777.12998,210862.923807,2519.26133528
424776.387198,210864.78076,2519.30473257
424775.644417,210866.637713,2519.34446607
424774.731812,210868.338406,2519.34818881
424772.942957,210869.232833,2519.18100513
424771.154103,210870.12726,2519.02062101
424769.365248,210871.021688,2518.95768943
424767.576394,210871.916115,2518.95574656
424765.78754,210872.810542,2518.93232712
424763.998685,210873.704969,2518.88743113
424762.209831,210874.599396,2518.82105857
424760.420977,210875.493824,2518.73320945
424758.632122,210876.388251,2518.70160276
424757.023145,210877.532245,2518.69394029
424755.608932,210878.946458,2518.68381495
424754.194718,210880.360672,2518.66569683
424752.780505,210881.774885,2518.677391
424751.307957,210883.127614,2518.64854504
424749.821369,210884.465544,2518.60794302
424748.334781,210885.803473,2518.70255107
424746.848193,210887.141403,2518.78483502
424745.361604,210888.479332,2518.85479485
424743.875016,210889.817262,2518.91243057
424743.650966,210891.794652,2519.08500617
424743.451959,210893.784727,2519.26743467
424743.252951,210895.774801,2519.44887887
424743.053944,210897.764875,2519.62933878
424742.854936,210899.75495,2519.80881439
424742.655929,210901.745024,2520.04003663
424742.456921,210903.735099,2520.2780025
424742.257914,210905.725173,2520.51532829
424742.308847,210907.682685,2520.75321315
424743.011094,210909.555343,2520.99534904
424743.713341,210911.428002,2521.29708555
424744.415587,210913.30066,2521.6077133
424745.581719,210914.852288,2521.85890306
424747.086873,210916.169297,2522.05962128
424748.592026,210917.486306,2522.24450433
424750.09718,210918.803316,2522.42894063
424751.602333,210920.120325,2522.82563732
424753.120511,210921.422295,2523.22895324
424754.639024,210922.723878,2523.60562047
424756.157537,210924.025461,2523.95565167
424757.67605,210925.327043,2524.27904685
424759.274649,210926.52879,2524.57329273
424760.874649,210927.72879,2524.9357861
424762.474649,210928.92879,2525.37890787
424764.074649,210930.12879,2525.83520838
424763.905975,210931.631751,2525.99364268
424762.716426,210933.166168,2525.95266387
424760.73187,210933.414238,2525.5887135
424758.747314,210933.662307,2525.39120245
424756.762759,210933.910377,2525.2920121
424755.120757,210934.858845,2525.31797477
424753.15453,210934.55052,2525.1445796
424751.181742,210934.221722,2524.96522261
424749.908126,210934.718269,2524.96871096
424749.908126,210936.718269,2525.27679121
424750.052354,210938.689737,2525.57614598
424750.813854,210940.539093,2525.92821459
424751.575353,210942.388449,2526.32963858
424752.336853,210944.237806,2526.70790977
424753.098352,210946.087162,2527.06302817
424753.859852,210947.936518,2527.39499377
424754.621352,210949.785874,2527.70380658
424755.382851,210951.63523,2528.06283167
424755.916692,210953.515914,2528.43776696
424755.683009,210955.502216,2528.8617087
424755.449327,210957.488517,2529.28820922
424755.215644,210959.474818,2529.71726854
424754.981962,210961.461119,2530.18290049
424754.748279,210963.44742,2530.66279393
424754.514597,210965.433722,2531.1446433
424754.280914,210967.420023,2531.62844859
424754.522096,210969.392653,2532.07547432
424754.869667,210971.36222,2532.49639372
424755.217238,210973.331787,2532.90983325
424755.564808,210975.301354,2533.32285496
424755.912379,210977.270921,2533.73545885
424756.25995,210979.240488,2534.14764491
424756.60752,210981.210055,2534.56559202
424756.984619,210983.173739,2534.97992494
424757.41848,210985.126113,2535.38168616
424757.852341,210987.078487,2535.77816154
424758.286202,210989.030862,2536.16935108
424758.821959,210990.952297,2536.57524075
424759.546852,210992.816307,2536.98157544
424760.271744,210994.680316,2537.43045767
424760.996637,210996.544325,2537.94511297
424761.721529,210998.408335,2538.44932412
424762.446422,211000.272344,2538.94280709
424763.171314,211002.136353,2539.4291047
424763.896207,211004.000363,2539.91354176
424764.6211,211005.864372,2540.39611827
424765.139051,211007.795984,2540.88881759
424765.654376,211009.728454,2541.38029467
424766.169701,211011.660924,2541.89051554
424766.685027,211013.593394,2542.39579556
424767.200352,211015.525864,2542.89232786
424767.715677,211017.458333,2543.38011243
424768.420169,211019.296887,2543.83197312
424769.648051,211020.875591,2544.25274978
424770.875932,211022.454296,2544.80091754
424772.103813,211024.033,2545.36652561
