4.251315076070000068e+05,2.110684484170000069e+05,2.629070547369999986e+03,4.494499999999999886e+02
4.251326079480000190e+05,2.110667783129999880e+05,2.629067349890000060e+03,4.449666666667000072e+02
4.251337082889999729e+05,2.110651082079999906e+05,2.629066637939999964e+03,4.422333333332999814e+02
4.251348086309999926e+05,2.110634381040000007e+05,2.629068411539999943e+03,4.410166666667000186e+02
4.251359089720000047e+05,2.110617679990000033e+05,2.629072670670000207e+03,4.394666666667000072e+02
4.251366888920000056e+05,2.110599263360000041e+05,2.629015306969999983e+03,4.365666666666999731e+02
4.251374688130000141e+05,2.110580846719999972e+05,2.628951708669999789e+03,4.330666666666999731e+02
4.251382487330000149e+05,2.110562430089999980e+05,2.628884975370000120e+03,4.298333333333000041e+02
4.251390286540000234e+05,2.110544013459999987e+05,2.628815107060000173e+03,4.263166666666999731e+02
4.251398085740000242e+05,2.110525596819999919e+05,2.628742103760000191e+03,4.211166666666999845e+02
4.251405884940000251e+05,2.110507180189999926e+05,2.628672568540000157e+03,4.151499999999999773e+02
4.251413684149999754e+05,2.110488763549999858e+05,2.628615081399999781e+03,4.089333333333000269e+02
4.251421483349999762e+05,2.110470346919999865e+05,2.628561137010000039e+03,4.052166666667000072e+02
4.251429282559999847e+05,2.110451930289999873e+05,2.628504331139999977e+03,4.039833333332999814e+02
4.251437081759999855e+05,2.110433513650000095e+05,2.628444663799999944e+03,4.044333333333000269e+02
4.251444880959999864e+05,2.110415097020000103e+05,2.628382134970000152e+03,4.037166666667000072e+02
4.251452680169999949e+05,2.110396680380000034e+05,2.628317199919999894e+03,4.016833333333000269e+02
4.251460479369999957e+05,2.110378263750000042e+05,2.628254743479999888e+03,3.984499999999999886e+02
4.251468278580000042e+05,2.110359847109999973e+05,2.628194966170000043e+03,3.958500000000000227e+02
4.251476077780000051e+05,2.110341430479999981e+05,2.628137867989999904e+03,3.939833333332999814e+02
4.251483876990000135e+05,2.110323013849999988e+05,2.628083448949999820e+03,3.917666666667000186e+02
4.251491676190000144e+05,2.110304597209999920e+05,2.628031709030000002e+03,3.890666666666999731e+02
4.251499475390000152e+05,2.110286180579999927e+05,2.627963600950000000e+03,3.856666666666999959e+02
4.251507274600000237e+05,2.110267763939999859e+05,2.627891466030000174e+03,3.826999999999999886e+02
4.251515073800000246e+05,2.110249347309999866e+05,2.627822219929999846e+03,3.805166666667000186e+02
4.251522873009999748e+05,2.110230930679999874e+05,2.627755716080000184e+03,3.786666666666999959e+02
4.251530672209999757e+05,2.110212514040000096e+05,2.627691954490000171e+03,3.768666666666999845e+02
4.251538471409999765e+05,2.110194097410000104e+05,2.627627179380000143e+03,3.755000000000000000e+02
