Line,x_450000,y_5000000,G_DGM10m,lotzeit
profil_1_,425166.325868,210989.943126,2626.44822144,318.1333333333
profil_1_,425167.105789,210988.101463,2626.39022993,313.7833333333
profil_1_,425167.885709,210986.259799,2626.32929278,309.5666666667
profil_1_,425168.665629,210984.418136,2626.26540998,305.8833333333
profil_1_,425169.44555,210982.576472,2626.19858155,302.55
profil_1_,425170.22547,210980.734809,2626.1335311,298.8666666667
profil_1_,425171.005391,210978.893146,2626.09067706,293.9333333333
profil_1_,425171.785311,210977.051482,2626.05258861,288.3166666667
profil_1_,425172.565232,210975.209819,2626.01173686,283.8833333333
profil_1_,425173.345152,210973.368155,2625.96812182,280.25
profil_1_,425174.125072,210971.526492,2625.92174348,277.2
profil_1_,425174.904993,210969.684829,2625.87216043,274.0333333333
profil_1_,425175.684913,210967.843165,2625.82172546,269.55
profil_1_,425176.464834,210966.001502,2625.77544244,263.75
profil_1_,425177.244754,210964.159838,2625.73331137,256.2
profil_1_,425178.024674,210962.318175,2625.69533225,248.4
profil_1_,425178.804595,210960.476511,2625.66150508,242.8166666667
profil_1_,425179.584515,210958.634848,2625.6251496,239.4833333333
profil_1_,425180.364436,210956.793185,2625.58999551,236.9833333333
profil_1_,425181.144356,210954.951521,2625.56329605,233.9833333333
profil_1_,425181.924277,210953.109858,2625.54163225,230.0833333333
profil_1_,425182.704197,210951.268194,2625.52500408,226.2
profil_1_,425183.484117,210949.426531,2625.52055909,222.6166666667
profil_1_,425184.264038,210947.584868,2625.53243558,219.0166666667
profil_1_,425185.043958,210945.743204,2625.54245352,214.6833333333
profil_1_,425185.823879,210943.901541,2625.5506129,209.2333333333
profil_1_,425186.603799,210942.059877,2625.55691372,201.95
profil_1_,425187.38372,210940.218214,2625.56135598,194.2666666667
profil_1_,425188.16364,210938.37655,2625.58934861,188.0833333333
profil_1_,425188.94356,210936.534887,2625.62457221,184.3
profil_1_,425189.723481,210934.693224,2625.6639688,183.15
profil_1_,425190.503401,210932.85156,2625.70747424,181.9166666667
profil_1_,425191.283322,210931.009897,2625.74990125,179.65
profil_1_,425192.063242,210929.168233,2625.7883153,175.8666666667
profil_1_,425192.843162,210927.32657,2625.82691272,172.5
profil_1_,425193.623083,210925.484907,2625.86966911,169.5333333333
profil_1_,425194.403003,210923.643243,2625.91658447,166.6166666667
profil_1_,425195.182924,210921.80158,2625.96765879,163.8666666667
profil_1_,425195.962844,210919.959916,2626.02287121,160.6833333333
profil_1_,425196.742765,210918.118253,2626.07814791,157.2833333333
profil_1_,425197.522685,210916.276589,2626.13140474,153.25
profil_1_,425198.302605,210914.434926,2626.1826417,149.4333333333
profil_1_,425199.082526,210912.593263,2626.2318588,146.35
profil_1_,425199.862446,210910.751599,2626.27905602,144.5833333333
profil_1_,425200.642367,210908.909936,2626.34368803,143.1666666667
profil_1_,425201.422287,210907.068272,2626.41844278,141.8833333333
profil_1_,425202.202207,210905.226609,2626.48993628,140.45
profil_1_,425202.982128,210903.384946,2626.55816854,139.0166666667
profil_1_,425203.762048,210901.543282,2626.62313955,137.4666666667
profil_1_,425204.541969,210899.701619,2626.68784777,135.7833333333
profil_1_,425205.321889,210897.859955,2626.76830765,133.1333333333
profil_1_,425206.10181,210896.018292,2626.85153783,129.7
profil_1_,425206.88173,210894.176628,2626.93753833,125.7333333333
profil_1_,425207.66165,210892.334965,2627.02630913,120.8333333333
profil_1_,425208.441571,210890.493302,2627.11785023,116.15
profil_1_,425209.221491,210888.651638,2627.21533172,111.2333333333
profil_1_,425210.001412,210886.809975,2627.31125151,105.85
profil_1_,425210.781332,210884.968311,2627.40276642,100.3666666667
profil_1_,425211.561253,210883.126648,2627.49656069,95.4666666667
profil_1_,425212.341173,210881.284985,2627.59263433,91.6666666667
profil_1_,425213.121093,210879.443321,2627.69862389,88.5666666667
profil_1_,425213.901014,210877.601658,2627.82067059,84.8166666667
profil_1_,425214.680934,210875.759994,2627.93908433,80.8
profil_1_,425215.460855,210873.918331,2628.05386512,76.7666666667
profil_1_,425216.240775,210872.076667,2628.16501295,73.4
profil_1_,425217.020695,210870.235004,2628.27252782,70.8
profil_1_,425217.800616,210868.393341,2628.38125534,69.1666666667
profil_1_,425218.580536,210866.551677,2628.49274478,66.8
profil_1_,425219.360457,210864.710014,2628.60667489,64.25
profil_1_,425220.140377,210862.86835,2628.72134094,62.7833333333
profil_2_,425178.08,211345.77,2664.23480553,191.6666666667
profil_2_,425179.365044,211344.237466,2664.039872,191.2666666667
profil_2_,425180.650089,211342.704931,2663.85606422,191.3166666667
